Algorithm,Dataset,Max_Weight,Best Weight,Best Value,Average Weight,Average Value
Hybrid IGA-SA,f1_l-d_kp_10_269,269,249,295,266.0,294.7
Hybrid IGA-SA,f1_l-d_kp_10_269,269,269,295,269.0,295.0
Hybrid IGA-SA,f10_l-d_kp_20_879,879,871,1025,848.05,974.6
Hybrid IGA-SA,knapPI_3_100_1000_1,997,997,1597,993.65,1258.65
Hybrid IGA-SA,knapPI_3_200_1000_1,997,997,1497,993.6,1313.6
Hybrid IGA-SA,knapPI_1_100_1000_1,995,985,9147,962.9,6364.95
Hybrid IGA-SA,knapPI_1_200_1000_1,1008,1000,9324,934.25,5947.2
Hybrid IGA-SA,knapPI_2_100_1000_1,995,983,1380,980.25,1181.2
Hybrid IGA-SA,knapPI_2_200_1000_1,1008,992,1343,993.5,1200.3
Hybrid IGA-SA,f2_l-d_kp_20_878,878,827,1009,835.75,1005.5
Hybrid IGA-SA,f3_l-d_kp_4_20,20,18,35,18.3,34.7
Hybrid IGA-SA,f4_l-d_kp_4_11,11,11,23,11.0,23.0
Hybrid IGA-SA,f6_l-d_kp_10_60,60,60,52,58.5,51.8
Hybrid IGA-SA,f7_l-d_kp_7_50,50,50,107,45.5,95.7
Hybrid IGA-SA,f8_l-d_kp_23_10000,10000,9774,9763,9761.45,9758.0
Hybrid IGA-SA,f9_l-d_kp_5_80,80,60,130,63.85,125.8
Hybrid IGA-SA,knapPI_2_1000_1000_1,5002,4971,5706,4966.95,5511.1
Hybrid IGA-SA,knapPI_2_1000_1000_1,5002,4969,5816,4970.7,5485.75
Hybrid IGA-SA,knapPI_3_1000_1000_1,4990,4990,6390,4985.4,6070.4

Genetic Algorithm,f1_l-d_kp_10_269,269,269,295,267.0,294.8
Genetic Algorithm,f10_l-d_kp_20_879,879,871,1025,871.0,1025.0
Genetic Algorithm,knapPI_3_100_1000_1,997,997,2397,995.65,2180.65
Genetic Algorithm,knapPI_3_200_1000_1,997,1473,3673,1223.4,3193.4
Genetic Algorithm,knapPI_1_100_1000_1,995,3975,17570,3954.5,17528.5
Genetic Algorithm,knapPI_1_200_1000_1,1008,7434,30390,7341.1,30192.95
Genetic Algorithm,knapPI_2_100_1000_1,995,983,1501,981.75,1408.8
Genetic Algorithm,knapPI_2_200_1000_1,1008,1003,1551,993.7,1434.3
Genetic Algorithm,f4_l-d_kp_4_11,11,11,23,11.0,23.0
Genetic Algorithm,f2_l-d_kp_20_878,878,871,1024,871.0,1024.0
Genetic Algorithm,f3_l-d_kp_4_20,20,18,35,18.0,35.0
Genetic Algorithm,f6_l-d_kp_10_60,60,59,52,58.15,52.0
Genetic Algorithm,f7_l-d_kp_7_50,50,50,107,50.0,105.8
Genetic Algorithm,f8_l-d_kp_23_10000,10000,9768,9767,9769.35,9764.85
Genetic Algorithm,f9_l-d_kp_5_80,80,60,130,60.0,130.0
Genetic Algorithm,knapPI_2_1000_1000_1,5002,17841,21577,13231.55,15954.95
Genetic Algorithm,knapPI_3_1000_1000_1,4990,21559,37559,17374.55,32099.55

Simulated Annealing,f1_l-d_kp_10_269,269,199,74,252.25,196.0
Simulated Annealing,f10_l-d_kp_20_879,879,864,888,863.0,889.65
Simulated Annealing,knapPI_3_100_1000_1,997,789,889,954.2,1129.2
Simulated Annealing,knapPI_3_200_1000_1,997,644,944,966.65,1251.65
Simulated Annealing,knapPI_1_100_1000_1,995,1275,318,1073.75,678.2
Simulated Annealing,knapPI_1_200_1000_1,1008,833,988,1034.15,683.9
Simulated Annealing,knapPI_2_100_1000_1,995,790,865,1001.8,1056.75
Simulated Annealing,knapPI_2_200_1000_1,1008,1489,1522,1013.6,1097.05
Simulated Annealing,f2_l-d_kp_20_878,878,908,843,883.05,838.4
Simulated Annealing,f3_l-d_kp_4_20,20,22,37,18.7,32.05
Simulated Annealing,f4_l-d_kp_4_11,11,11,23,11.65,25.45
Simulated Annealing,f6_l-d_kp_10_60,60,31,27,66.6,53.85
Simulated Annealing,f7_l-d_kp_7_50,50,39,74,53.2,107.9
Simulated Annealing,f8_l-d_kp_23_10000,10000,10659,10539,10182.6,10120.35
Simulated Annealing,f9_l-d_kp_5_80,80,76,109,81.9,118.1
Simulated Annealing,knapPI_2_1000_1000_1,5002,5242,5153,5016.2,4955.6
Simulated Annealing,knapPI_3_1000_1000_1,4990,5064,6264,4969.4,6058.65
