Algorithm;Dataset;Iteration;Number Of Items;Best Value;Optimal Value;Shortfall;Operations;Time (Milli)
Genetic Algorithm;f4_l-d_kp_4_11;10;4;23;23;0;350022;709
Genetic Algorithm;f3_l-d_kp_4_20;10;4;35;35;0;349842;762
Genetic Algorithm;f9_l-d_kp_5_80;10;5;130;130;0;422469;769
Genetic Algorithm;f7_l-d_kp_7_50;10;7;107;107;0;567107;725
Genetic Algorithm;f6_l-d_kp_10_60;10;10;52;52;0;784512;764
Genetic Algorithm;f1_l-d_kp_10_269;10;10;295;295;0;784830;768
Genetic Algorithm;f2_l-d_kp_20_878;10;20;1024;1024;0;1508768;882
Genetic Algorithm;f10_l-d_kp_20_879;10;20;1025;1025;0;1510652;895
Genetic Algorithm;f8_l-d_kp_23_10000;10;23;9767;9767;0;1728338;880
Genetic Algorithm;knapPI_3_100_1000_1;10;100;2390;2397;7;7301198;1326
Genetic Algorithm;knapPI_2_100_1000_1;10;100;1481;1514;33;7311256;1334
Genetic Algorithm;knapPI_1_100_1000_1;10;100;18083;9147;-8936;7305162;1458
Genetic Algorithm;knapPI_2_200_1000_1;10;200;1504;1634;130;14549054;1983
Genetic Algorithm;knapPI_3_200_1000_1;10;200;3900;2697;-1203;14545120;2001
Genetic Algorithm;knapPI_1_200_1000_1;10;200;31905;11238;-20667;14536672;2270
Genetic Algorithm;knapPI_3_500_1000_1;10;500;14613;7117;-7496;36293168;4429
Genetic Algorithm;knapPI_2_500_1000_1;10;500;6832;4566;-2266;36265770;4597
Genetic Algorithm;knapPI_1_500_1000_1;10;500;91515;28857;-62658;36278114;4904
Genetic Algorithm;knapPI_2_1000_1000_1;10;1000;43991;9052;-34939;72511922;9036
Genetic Algorithm;knapPI_3_1000_1000_1;10;1000;67175;14390;-52785;72439280;9141
Genetic Algorithm;knapPI_1_1000_1000_1;10;1000;179560;54503;-125057;72460082;9320
Genetic Algorithm;knapPI_3_2000_1000_1;10;2000;265509;28919;-236590;144867862;17971
Genetic Algorithm;knapPI_2_2000_1000_1;10;2000;204527;18051;-186476;145028052;18360
Genetic Algorithm;knapPI_1_2000_1000_1;10;2000;433143;110625;-322518;144766024;19461
Genetic Algorithm;knapPI_3_5000_1000_1;10;5000;1062418;72505;-989913;362315196;47221
Genetic Algorithm;knapPI_2_5000_1000_1;10;5000;889459;44356;-845103;362160066;47355
Genetic Algorithm;knapPI_1_5000_1000_1;10;5000;1168959;276457;-892502;362230260;49553
Genetic Algorithm;knapPI_2_10000_1000_1;10;10000;2087706;90204;-1997502;724179938;94529
Genetic Algorithm;knapPI_1_10000_1000_1;10;10000;2417809;563647;-1854162;724389942;96527
Genetic Algorithm;knapPI_3_10000_1000_1;10;10000;2500225;146919;-2353306;724800108;98987
